"Timestamp","Gender","Age","How frequently do you use mobile flight booking applications?","How easy do you find it to navigate through mobile flight booking applications?","How satisfied are you with the clarity of information provided during flight booking process?","Do you often struggle to find flights that match your preferences like times, stops, airlines by using app's search function ?","Do you find the details provided for flights like layover duration, baggage fees, total travel time not clear ? ","Do you find the process to select a flight and proceed to booking is overly complicated ? ","
Do you find that final price at checkout often includes unexpected charges ?","
Do you find customer support through the app challenging ? ","The app does not offer personalized flight recommendations based on my previous bookings. ","Flight booking apps do not sufficiently support accessibility features for users with disabilities. ","Do you find the mobile check-in process is complicated. ","How likely are you to use a voice-activated interface for searching and booking flights within a mobile app? ","How do you prioritize features of mobile flight booking application? Choose from most to least priority features. [1]","How do you prioritize features of mobile flight booking application? Choose from most to least priority features. [2]","How do you prioritize features of mobile flight booking application? Choose from most to least priority features. [3]","How do you prioritize features of mobile flight booking application? Choose from most to least priority features. [4]","How do you prioritize features of mobile flight booking application? Choose from most to least priority features. [5]","What improvements or changes would you suggest to enhance your experience with the mobile flight booking application ?"
"2024/04/14 7:57:54 PM GMT+1","Male","26-35","Sometimes","Somewhat difficult","Somewhat dissatisfied","Agree","Agree","Agree","Agree","Neutral","Strongly Agree","Agree","Agree","Likely","Simplified Booking Process","Information Clarity","Personalization","Performance","Easy Navigation","Make the search process easier with a clear and simple UI. For dates, places of departure and arrival, and other filters, use clear input fields. As the user types, provide auto-suggestions for frequently visited locations."
"2024/04/14 8:41:15 PM GMT+1","Male","36-45","Sometimes","Somewhat easy","Neutral","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Disagree","Agree","Agree","Highly likely","Easy Navigation","Information Clarity","Performance","Simplified Booking Process","Personalization",""
"2024/04/16 4:51:30 PM GMT+1","Male","36-45","Sometimes","Somewhat easy","Extremely satisfied","Strongly Agree","Strongly Disagree","Strongly Disagree","Agree","Disagree","Disagree","Neutral","Strongly Disagree","Likely","Information Clarity","Simplified Booking Process","Personalization","Performance","Easy Navigation","Mostly some features are not available on mobile app which are actually available on web page."
"2024/04/16 5:03:00 PM GMT+1","Male","26-35","Sometimes","Very difficult","Extremely dissatisfied","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Unlikely","Easy Navigation","Simplified Booking Process","Information Clarity","Performance","Personalization","Please provide easy to use platform because costumer face many difficulties to understand the design of APP."
"2024/04/16 6:05:54 PM GMT+1","Male","26-35","Sometimes","Very easy","Somewhat satisfied","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Likely","Easy Navigation","Information Clarity","Performance","Simplified Booking Process","Personalization","N/A"
"2024/04/16 8:10:04 PM GMT+1","Female","18-25","Rarely","Neutral","Somewhat satisfied","Disagree","Neutral","Agree","Disagree","Disagree","Disagree","Agree","Agree","Unlikely","Easy Navigation","Information Clarity","Performance","Personalization","Simplified Booking Process","Straightforward calls-to-action on the app main screens. 
Flexible, personalized, and effective search engine. 
Make sure your product provides personalized suggestions based on previous user searches and booking history. "
"2024/04/16 8:53:13 PM GMT+1","Male","26-35","Sometimes","Very easy","Somewhat satisfied","Disagree","Disagree","Neutral","Disagree","Agree","Neutral","Agree","Disagree","Neutral","Easy Navigation","Simplified Booking Process","Performance","Personalization","Information Clarity",""
"2024/04/17 7:25:48 AM GMT+1","Male","36-45","Rarely","Somewhat easy","Somewhat satisfied","Agree","Agree","Disagree","Neutral","Agree","Agree","Disagree","Disagree","Neutral","Easy Navigation","Simplified Booking Process","Performance","Information Clarity","Personalization",""
"2024/04/17 1:23:16 PM GMT+1","Male","26-35","Rarely","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Easy Navigation","Information Clarity","Performance","Simplified Booking Process","Personalization",""
"2024/04/17 2:13:01 PM GMT+1","Male","36-45","Sometimes","Very easy","Somewhat satisfied","Neutral","Strongly Disagree","Strongly Disagree","Strongly Agree","Neutral","Neutral","Neutral","Strongly Disagree","Neutral","Simplified Booking Process","Easy Navigation","Information Clarity","Performance","Personalization",""
